episode,total_reward,avg_reward_per_step,forward_progress,avg_speed,avg_loss,high_jumps,epsilon,stuck_termination,flag_get,final_x,training_total_reward
17,13951.16,10.1389,2016.0,1.4651,7.433588,1063,1.0,0,0,1130.0,15033.51
18,12960.92,15.0884,1992.0,2.319,9.588178,662,0.98,0,0,710.0,14436.17
19,20108.1,12.0769,2510.0,1.5075,9.345862,1264,0.9604,0,0,682.0,20596.54
20,16953.15,10.3562,2515.0,1.5363,10.246915,1225,0.9412,0,0,1803.0,17415.66
21,10680.21,13.675,1621.0,2.0755,10.092907,552,0.9224,0,0,722.0,12176.14
22,16640.56,12.0409,2156.0,1.5601,11.43392,989,0.9039,0,0,1436.0,16924.59
23,14515.27,14.1062,1927.0,1.8727,10.975565,740,0.8858,0,0,1417.0,15745.42
24,29162.77,12.652,3677.0,1.5952,11.929333,1677,0.8681,0,0,1945.0,29239.39
25,14002.35,14.6162,1735.0,1.8111,11.749366,677,0.8508,0,0,1406.0,14454.26
26,22994.56,9.8901,2956.0,1.2714,12.261674,1630,0.8337,0,0,1416.0,23431.35
27,22936.72,13.901,2672.0,1.6194,11.896355,1104,0.8171,0,0,1413.0,23002.3
28,14590.52,11.5158,2152.0,1.6985,12.943368,825,0.8007,0,0,689.0,16102.42
29,21510.77,10.6859,2577.0,1.2802,12.298808,1384,0.7847,0,0,841.0,21811.86
30,16517.24,11.5667,2224.0,1.5574,13.357776,907,0.769,0,0,1796.0,17018.92
31,23838.34,12.2562,2834.0,1.4571,12.811824,1270,0.7536,0,0,691.0,23227.8
32,24670.0,11.5065,3000.0,1.3993,13.35609,1387,0.7386,0,0,1138.0,25066.7
33,26468.32,13.6858,3632.0,1.878,12.971202,1224,0.7238,0,0,1409.0,27623.19
34,20875.09,12.1508,2509.0,1.4604,13.878634,1058,0.7093,0,0,1655.0,21120.53
35,7146.66,11.5829,1166.0,1.8898,13.552569,378,0.6951,0,0,308.0,8760.25
36,23621.75,9.1593,3175.0,1.2311,13.949227,1662,0.6812,0,0,1527.0,24683.43
37,26637.87,10.533,2987.0,1.1811,13.377967,1611,0.6676,0,0,835.0,25827.36
38,15764.28,8.7337,1928.0,1.0681,14.474863,1072,0.6543,0,0,299.0,17356.78
39,15604.04,13.2687,2004.0,1.7041,13.870142,722,0.6412,0,0,315.0,16131.46
40,14728.09,13.8552,1609.0,1.5136,14.786449,623,0.6283,0,0,1438.0,14122.72
41,12597.01,13.5016,1701.0,1.8232,14.513679,507,0.6158,0,0,1431.0,13105.63
42,24816.78,7.8311,3078.0,0.9713,15.053822,1911,0.6035,0,0,1151.0,25191.82
43,10554.68,6.6008,2068.0,1.2933,14.54304,951,0.5914,0,0,1438.0,11955.74
44,16437.5,5.4035,2250.0,0.7396,15.332857,1902,0.5796,0,0,1149.0,17864.51
45,14932.13,11.0608,1613.0,1.1948,14.890103,749,0.568,0,0,1435.0,14471.45
46,28012.47,8.3794,3047.0,0.9115,15.548216,1996,0.5566,0,0,834.0,28453.37
47,17515.84,7.223,2384.0,0.9831,15.083526,1363,0.5455,0,0,1524.0,18999.16
48,8523.99,5.4189,1399.0,0.8894,15.871067,924,0.5346,0,0,898.0,10141.23
49,51356.12,14.3253,4612.0,1.2865,15.480741,1881,0.5239,0,0,180.0,50191.52
50,12579.72,8.2382,1772.0,1.1604,16.424461,804,0.5134,0,0,681.0,14112.12
51,11805.22,7.582,1622.0,1.0417,15.94507,888,0.5031,0,0,301.0,12373.39
52,22206.42,10.5896,2442.0,1.1645,16.703218,1180,0.4931,0,0,1129.0,22479.63
54,15081.75,5.5346,1975.0,0.7248,16.799377,1514,0.4735,0,0,898.0,16118.76
55,13228.38,9.7771,1838.0,1.3585,16.40218,706,0.4641,0,0,1438.0,13769.5
56,13916.03,7.5019,2203.0,1.1876,17.275481,1057,0.4548,0,0,1438.0,14368.38
57,17790.69,11.6737,2069.0,1.3576,16.840221,801,0.4457,0,0,309.0,18299.93
58,8372.14,9.2306,1214.0,1.3385,17.91026,417,0.4368,0,0,301.0,10075.04
59,21614.83,8.0773,2483.0,0.9279,17.382225,1414,0.4281,0,0,313.0,21014.24
60,4691.32,4.0688,1332.0,1.1552,18.073267,599,0.4195,0,0,308.0,6362.94
63,15755.84,7.3488,2284.0,1.0653,17.964874,1128,0.3948,0,0,1432.0,15628.25
64,19522.56,10.8579,2556.0,1.4216,18.383235,900,0.3869,0,0,1438.0,20986.38
65,10865.14,5.5293,1914.0,0.974,17.962314,1052,0.3792,0,0,313.0,12390.03
80,16050.25,13.7299,2225.0,1.9033,20.821233,602,0.2801,0,0,1438.0,17046.73
81,12407.61,14.3275,1661.0,1.918,20.787546,351,0.2745,0,0,1414.0,12858.32
97,7647.16,13.0721,1216.0,2.0786,20.939211,200,0.1986,0,0,314.0,8801.79
100,4420.08,11.6013,808.0,2.1207,21.349272,141,0.187,0,0,312.0,5658.87
108,15095.3,6.1239,2230.0,0.9047,20.971407,929,0.1591,0,0,310.0,15260.08
112,13955.69,8.4992,1669.0,1.0164,21.121029,559,0.1467,0,0,1517.0,13073.62
114,14209.12,13.3169,1612.0,1.5108,21.135442,313,0.1409,0,0,1435.0,13358.78
115,3195.15,8.6589,815.0,2.2087,21.282699,87,0.1381,0,0,311.0,4928.43
118,17029.38,7.7406,2238.0,1.0173,21.484996,883,0.13,0,0,1415.0,17050.14
120,16867.51,10.4963,2451.0,1.5252,21.388468,598,0.1248,0,0,1430.0,17775.47
125,14105.61,14.6324,1661.0,1.723,21.020658,414,0.1128,0,0,1518.0,13171.25
126,15370.31,7.2161,2231.0,1.0474,21.45099,778,0.1106,0,0,1130.0,16944.7
